id,data_lotu,numer_lotu,linia_lotnicza,kierunek,czas_planowany,czas_rzeczywisty,status,ostatnia_aktualizacja
90,2026-04-13,EJU 4672,EJU,PARYŻ (CDG),2026-04-13 16:20:00,2026-04-13 16:25:00,Wystartował 16:25,2026-04-14 17:49:32
91,2026-04-13,FR 5357,FR,MADRYT (MAD),2026-04-13 16:25:00,2026-04-13 16:42:00,Wystartował 16:42,2026-04-14 17:49:32
92,2026-04-13,W6 2095,W6,BARCELONA (BCN),2026-04-13 16:30:00,2026-04-13 16:44:00,Wystartował 16:44,2026-04-14 17:49:32
93,2026-04-13,EN 8343,EN,MONACHIUM (MUC),2026-04-13 16:45:00,2026-04-13 16:51:00,Wystartował 16:51,2026-04-14 17:49:32
94,2026-04-13,FR 1469,FR,RZYM CIAMPINO (CIA),2026-04-13 16:45:00,2026-04-13 16:46:00,Wystartował 16:46,2026-04-14 17:49:32
95,2026-04-13,FR 4203,FR,GLASGOW (GLA),2026-04-13 16:50:00,2026-04-13 16:58:00,Wystartował 16:58,2026-04-14 17:49:32
96,2026-04-13,FR 7115,FR,MALTA (MLA),2026-04-13 17:00:00,2026-04-13 17:05:00,Wystartował 17:05,2026-04-14 17:49:32
97,2026-04-13,LO 3507,LO,OLSZTYN-MAZURY (SZY),2026-04-13 17:00:00,2026-04-13 17:15:00,Wystartował 17:15,2026-04-14 17:49:32
98,2026-04-13,FR 4462,FR,MEDIOLAN MALPENSA (MXP),2026-04-13 17:05:00,2026-04-13 17:11:00,Wystartował 17:11,2026-04-14 17:49:32
99,2026-04-13,LO 2151,LO,PARYŻ ORLY (ORY),2026-04-13 17:10:00,2026-04-13 17:23:00,Wystartował 17:23,2026-04-14 17:49:32
100,2026-04-13,SN 2548,SN,BRUKSELA (BRU),2026-04-13 17:15:00,2026-04-13 17:25:00,Wystartował 17:25,2026-04-14 17:49:32
101,2026-04-13,FR 2370,FR,LOURDES (LDE),2026-04-13 17:50:00,2026-04-13 18:04:00,Wystartował 18:04,2026-04-14 17:49:32
102,2026-04-13,KL 1328,KL,AMSTERDAM (AMS),2026-04-13 17:55:00,2026-04-13 18:12:00,Wystartował 18:12,2026-04-14 17:49:32
103,2026-04-13,W6 2043,W6,STAVANGER (SVG),2026-04-13 18:00:00,2026-04-13 18:06:00,Wystartował 18:06,2026-04-14 17:49:32
104,2026-04-13,FR 3326,FR,SHANNON (SNN),2026-04-13 18:25:00,2026-04-13 18:31:00,Wystartował 18:31,2026-04-14 17:49:32
105,2026-04-13,LO 3924,LO,WARSZAWA (WAW),2026-04-13 18:25:00,2026-04-13 18:43:00,Wystartował 18:43,2026-04-14 17:49:32
106,2026-04-13,W6 2071,W6,NICEA (NCE),2026-04-13 18:25:00,2026-04-13 18:29:00,Wystartował 18:29,2026-04-14 17:49:32
107,2026-04-13,W6 2061,W6,RZYM FIUMICINO (FCO),2026-04-13 18:35:00,2026-04-13 18:38:00,Wystartował 18:38,2026-04-14 17:49:32
108,2026-04-13,W6 2067,W6,MEDIOLAN MALPENSA (MXP),2026-04-13 18:40:00,2026-04-13 18:47:00,Wystartował 18:47,2026-04-14 17:49:32
109,2026-04-13,FR 8672,FR,BARCELONA GIRONA (GRO),2026-04-13 18:45:00,2026-04-13 18:50:00,Wystartował 18:50,2026-04-14 17:49:32
110,2026-04-13,KL 1330,KL,AMSTERDAM (AMS),2026-04-13 19:00:00,2026-04-13 19:09:00,Wystartował 19:09,2026-04-14 17:49:32
111,2026-04-13,FR 2433,FR,LONDYN STANSTED (STN),2026-04-13 19:10:00,2026-04-13 19:18:00,Wystartował 19:18,2026-04-14 17:49:32
112,2026-04-13,LH 1369,LH,FRANKFURT (FRA),2026-04-13 19:10:00,,Odwołany,2026-04-14 17:49:32
113,2026-04-13,FR 451,FR,NEWCASTLE (NCL),2026-04-13 19:20:00,2026-04-13 19:24:00,Wystartował 19:24,2026-04-14 17:49:32
114,2026-04-13,LX 1375,LX,ZURYCH (ZRH),2026-04-13 19:45:00,2026-04-13 20:05:00,Wystartował 20:05,2026-04-14 17:49:32
115,2026-04-13,FR 4636,FR,SZTOKHOLM ARLANDA (ARN),2026-04-13 20:00:00,2026-04-13 20:08:00,Wystartował 20:08,2026-04-14 17:49:32
116,2026-04-13,FR 5145,FR,LAMEZIA TERME (SUF),2026-04-13 20:10:00,2026-04-13 20:26:00,Wystartował 20:26,2026-04-14 17:49:32
117,2026-04-13,FR 5917,FR,DUBROWNIK (DBV),2026-04-13 20:10:00,2026-04-13 20:17:00,Wystartował 20:17,2026-04-14 17:49:32
118,2026-04-13,FR 9949,FR,TULUZA (TLS),2026-04-13 20:10:00,2026-04-14 00:14:00,Wystartował 00:14,2026-04-14 17:49:32
119,2026-04-13,LS 114,LS,GLASGOW (GLA),2026-04-13 20:10:00,2026-04-13 21:03:00,Wystartował 21:03,2026-04-14 17:49:32
120,2026-04-13,TK 1274,TK,STAMBUŁ (IST),2026-04-13 20:20:00,2026-04-13 20:29:00,Wystartował 20:29,2026-04-14 17:49:32
121,2026-04-13,FR 6964,FR,KORFU (CFU),2026-04-13 20:25:00,2026-04-13 20:33:00,Wystartował 20:33,2026-04-14 17:49:32
122,2026-04-13,LS 296,LS,LEEDS BRADFORD (LBA),2026-04-13 20:40:00,2026-04-13 20:53:00,Wystartował 20:53,2026-04-14 17:49:32
123,2026-04-13,EZS 1262,EZS,BAZYLEA (BSL),2026-04-13 20:45:00,2026-04-13 20:39:00,Wystartował 20:39,2026-04-14 17:49:32
124,2026-04-13,FR 2722,FR,BARI (BRI),2026-04-13 20:45:00,2026-04-13 21:19:00,Wystartował 21:19,2026-04-14 17:49:32
125,2026-04-13,LS 1252,LS,BIRMINGHAM (BHX),2026-04-13 20:45:00,2026-04-13 21:00:00,Wystartował 21:00,2026-04-14 17:49:32
126,2026-04-13,LS 950,LS,MANCHESTER (MAN),2026-04-13 20:50:00,2026-04-13 21:07:00,Wystartował 21:07,2026-04-14 17:49:32
127,2026-04-13,FR 4935,FR,BRUKSELA CHARLEROI (CRL),2026-04-13 20:55:00,2026-04-13 21:04:00,Wystartował 21:04,2026-04-14 17:49:32
128,2026-04-13,LS 1902,LS,NEWCASTLE (NCL),2026-04-13 21:10:00,2026-04-13 21:21:00,Wystartował 21:21,2026-04-14 17:49:32
129,2026-04-13,FR 2498,FR,LONDYN STANSTED (STN),2026-04-13 21:25:00,2026-04-13 23:11:00,Wystartował 23:11,2026-04-14 17:49:32
130,2026-04-13,DY 1043,DY,OSLO GARDERMOEN (OSL),2026-04-13 21:30:00,2026-04-13 21:47:00,Wystartował 21:47,2026-04-14 17:49:32
131,2026-04-13,LO 3922,LO,WARSZAWA (WAW),2026-04-13 21:30:00,2026-04-13 21:34:00,Wystartował 21:34,2026-04-14 17:49:32
132,2026-04-13,FR 6782,FR,TRIEST (TRS),2026-04-13 21:35:00,2026-04-13 21:30:00,Wystartował 21:30,2026-04-14 17:49:32
133,2026-04-13,EZY 2264,EZY,MANCHESTER (MAN),2026-04-13 21:40:00,2026-04-13 22:06:00,Wystartował 22:06,2026-04-14 17:49:32
134,2026-04-13,FR 1725,FR,EAST MIDLANDS (EMA),2026-04-13 21:45:00,2026-04-13 22:21:00,Wystartował 22:21,2026-04-14 17:49:32
135,2026-04-13,FR 7226,FR,SALONIKI (SKG),2026-04-13 21:55:00,2026-04-13 21:56:00,Wystartował 21:56,2026-04-14 17:49:32
136,2026-04-13,EZY 8824,EZY,LONDYN GATWICK (LGW),2026-04-13 22:05:00,2026-04-13 22:19:00,Wystartował 22:19,2026-04-14 17:49:32
137,2026-04-13,FR 2726,FR,CATANIA (CTA),2026-04-13 22:15:00,2026-04-13 22:23:00,Wystartował 22:23,2026-04-14 17:49:32
138,2026-04-13,FR 3050,FR,BARCELONA (BCN),2026-04-13 22:30:00,2026-04-13 22:32:00,Wystartował 22:32,2026-04-14 17:49:32
139,2026-04-13,FR 2763,FR,KOPENHAGA (CPH),2026-04-13 22:35:00,2026-04-13 22:37:00,Wystartował 22:37,2026-04-14 17:49:32
140,2026-04-13,FR 5518,FR,BRISTOL (BRS),2026-04-13 23:00:00,2026-04-13 23:02:00,Wystartował 23:02,2026-04-14 17:49:32
141,2026-04-13,FR 2149,FR,MANCHESTER (MAN),2026-04-13 23:10:00,2026-04-14 01:05:00,Wystartował 01:05,2026-04-14 17:49:32
